m,corr,a,wtrig,sigmal,gammanull,alpha,cl,sigma,sigmaw,l_i,u_i,gamma,u_noi,l_noi
0.8,0.2,0.5,0,-0.19999999999999996,0,0.25,0.1,1,1,1.3107484362946573,0.3150084263801326,0.8857817216175201,0.2983387441811582,1.320441223680973
0.8,0.2,0.5,0,-0.19999999999999996,0,0.5,0.1,1,1,1.9534315879385573,0.3631798056482997,0.8686757885162547,0.3482831024875623,1.960613135248423
0.8,0.2,0.5,0,-0.19999999999999996,0,0.75,0.1,1,1,2.9523027782209286,0.47573569593199927,0.8521587190779902,0.4639410267862296,2.9576349883455517
0.8,0.2,0.5,0,0,0,0.25,0.1,1,1,1.13599691331137,0.30928214093297496,0.89806534387332,0.2919880679382924,1.135996919125318
0.8,0.2,0.5,0,0,0,0.5,0.1,1,1,1.842015741571144,0.34773607534603557,0.8980652938556434,0.33140480523815025,1.8420157432556157
0.8,0.2,0.5,0,0,0,0.75,0.1,1,1,2.8788896341422423,0.45611629082420896,0.8980652860165749,0.4424986256029712,2.8788896203045855
0.8,0.2,0.5,0,0.20000000000000018,0,0.25,0.1,1,1,0.8998065335648597,0.308745609466515,0.8932050504537223,0.29164371383694004,0.884471863508382
0.8,0.2,0.5,0,0.20000000000000018,0,0.5,0.1,1,1,1.6353067345120968,0.33020198033833387,0.9219013842640497,0.3125187383418721,1.6233972460031514
0.8,0.2,0.5,0,0.20000000000000018,0,0.75,0.1,1,1,2.689674990630343,0.4257203269435373,0.948159676975867,0.4096615776475349,2.6798179671168327
0.8,0.2,0.5,0,0.40000000000000013,0,0.25,0.1,1,1,0.7122295618826875,0.31442420234708396,0.8682982256497495,0.2984530074720153,0.6873494051396847
0.8,0.2,0.5,0,0.40000000000000013,0,0.5,0.1,1,1,1.3451262584601873,0.31554003289021265,0.92705769864763,0.2972954315914653,1.319207407534122
0.8,0.2,0.5,0,0.40000000000000013,0,0.75,0.1,1,1,2.3077288857893388,0.38464654663210096,0.9881448559071031,0.36594778870389866,2.281698778271675
0.8,0.2,0.5,0,0.6000000000000001,0,0.25,0.1,1,1,0.6322143666241054,0.3220822363225847,0.8411322260033197,0.307306941146892,0.6073645688593388
0.8,0.2,0.5,0,0.6000000000000001,0,0.5,0.1,1,1,1.0893293499341112,0.30880291596759507,0.9102546710493384,0.29109826757253443,1.0580222755664237
0.8,0.2,0.5,0,0.6000000000000001,0,0.75,0.1,1,1,1.782449118079026,0.3448210949637234,0.9919860544401908,0.32481179591059595,1.7426772937178607
0.8,0.2,0.5,0,0.8,0,0.25,0.1,1,1,0.6090319838957254,0.32885589412808364,0.8199606580938003,0.31498120986963996,0.5859789028763768
0.8,0.2,0.5,0,0.8,0,0.5,0.1,1,1,0.9409419130726916,0.3085480008215211,0.8869866516060667,0.2917750702135516,0.9119206853210926
0.8,0.2,0.5,0,0.8,0,0.75,0.1,1,1,1.3715289827006174,0.3210627703413517,0.9636359624842659,0.301570067837666,1.3331246972084045
0.8,0.2,0.5,0,1,0,0.25,0.1,1,1,0.6076650675670154,0.3343206423371013,0.803939365760444,0.321107815694339,0.5861204564571381
0.8,0.2,0.5,0,1,0,0.5,0.1,1,1,0.8662769119744375,0.31107229666425334,0.8666887983534957,0.2951438570089446,0.8406087160110474
0.8,0.2,0.5,0,1,0,0.75,0.1,1,1,1.1489295115066525,0.3112868520634816,0.9323063365426781,0.2928238641827015,1.1169894337654118
0.8,0.2,0.5,-0.25,-1,0,0.25,0.1,1,1,1.5107590294059245,0.337709138883196,0.7336536890013525,0.32755905911638383,1.5279842316484982
