m,corr,a,wtrig,sigmal,gammanull,alpha,r,k,q,n,p,cl,sigma,sigmaw,l_i,u_i,gamma,u_noi,l_noi
0.8,0.2,0.36000000000000004,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3710191434284496,0.9999999999999999,2.3932412718398695,1,0.42500000000000016
0.8,0.2,0.36000000000000004,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.341668314051055,0.9999999999999999,0.9174754547376387,1,0.3968750000000001
0.8,0.2,0.36000000000000004,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.41014186570941547,1,3.135983111426479,1,0.42500000000000016
0.8,0.2,0.36000000000000004,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.3463523920869063,0.9999999999999999,1.2599739265012755,1,0.3968750000000001
0.8,0.2,0.36000000000000004,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.41211353626558783,1,3.0647614110613457,1,0.42500000000000016
0.8,0.2,0.36000000000000004,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.34637651069698844,0.9999999999999999,1.258986395978872,1,0.3968750000000001
0.8,0.2,0.46,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.1996245656092731,0.9999999999999999,1.5431744293591771,0.9999999999999999,0.19999999999999996
0.8,0.2,0.46,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.1812498521179427,1,0.7487836809633888,0.9999999999999999,0.16249999999999998
0.8,0.2,0.46,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.19957456239602703,0.9999999999999999,1.5498145574727824,0.9999999999999999,0.19999999999999996
0.8,0.2,0.46,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.1812495961915073,1,0.7479900891299739,0.9999999999999999,0.16249999999999998
0.8,0.2,0.46,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.1994178421888078,0.9999999999999999,1.5644866016943506,0.9999999999999999,0.19999999999999996
0.8,0.2,0.46,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.1812499188127883,1,0.7490987695919242,0.9999999999999999,0.16249999999999998
0.8,0.4,0.06,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9083279378006848,0.9992201447422268,6.7481957809770705,0.99920433019523,0.9094086647033688
0.8,0.4,0.06,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9060949059363842,0.9992208094002293,6.615592961118053,0.9992056330186879,0.9051277160644529
0.8,0.4,0.06,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.908595948134158,0.9992147555212245,6.098252004118079,0.99920433019523,0.9094086647033688
