m,corr,a,wtrig,sigmal,gammanull,alpha,r,k,q,n,p,cl,sigma,sigmaw,l_i,u_i,gamma,u_noi,l_noi
0.8,0.2,0.01,0,-0.5,0,0.5,3,1000,0.5,25,1,100,3,1,0.013656628309943072,0.24698791478756454,1.830124631497656,0.2458082311123881,0.013665324536321875
0.8,0.2,0.01,0,0.5,0,0.5,3,1000,0.5,25,1,100,3,1,0.013113681729613618,0.24997112569101085,1.7264903923824182,0.2489737966669282,0.013113583846243643
0.8,0.2,0.01,-0.5,-0.5,0,0.5,3,1000,0.5,25,1,100,3,1,0.013661260247063814,0.2464242017253233,1.4500539696267976,0.2458082311123881,0.013665324536321875
0.8,0.2,0.01,-0.5,0.5,0,0.5,3,1000,0.5,25,1,100,3,1,0.01311529725998344,0.24949914501473902,1.4052711299507459,0.2489737966669282,0.013113583846243643
0.8,0.2,0.01,-1,-0.5,0,0.5,3,1000,0.5,25,1,100,3,1,0.013663943153876843,0.24615562688892778,1.1495697713988857,0.2458082311123881,0.013665324536321875
0.8,0.2,0.01,-1,0.5,0,0.5,3,1000,0.5,25,1,100,3,1,0.013113604718295296,0.24930373237386827,1.1779211550558462,0.2489737966669282,0.013113583846243643
0.8,0.2,0.025,0,-0.5,0,0.5,3,1000,0.5,25,1,100,3,1,0.014592638000846462,0.4935081718389375,1.866465043596822,0.491289118774441,0.014618118055421368
0.8,0.2,0.025,0,0.5,0,0.5,3,1000,0.5,25,1,100,3,1,0.013113578748071316,0.51252593495554,1.4648578562529537,0.5111899205781609,0.013113378873057418
0.8,0.2,0.025,-0.5,-0.5,0,0.5,3,1000,0.5,25,1,100,3,1,0.014610257672045854,0.4923761320417489,1.3535123430742244,0.491289118774441,0.014618118055421368
0.8,0.2,0.025,-0.5,0.5,0,0.5,3,1000,0.5,25,1,100,3,1,0.01310793624426182,0.5120235284746458,1.4321800755939125,0.5111899205781609,0.013113378873057418
0.8,0.2,0.025,-1,-0.5,0,0.5,3,1000,0.5,25,1,100,3,1,0.014614697820329729,0.4919537056623871,1.2218205160223874,0.491289118774441,0.014618118055421368
0.8,0.2,0.025,-1,0.5,0,0.5,3,1000,0.5,25,1,100,3,1,0.013113429278070793,0.5117004592820394,1.1549365002262595,0.5111899205781609,0.013113378873057418
